video_id,rmse,mean_iou,nees,n_frames
562,16.65293365167366,0.54660892001361,1494483.7965083015,1310
521,26.87581873424266,0.5400031496021143,453761.0666324883,863
048,53.01683536661556,0.5701850247893899,2895338.5720657464,1990
412,32.801951025638616,0.6195190209924971,814717.7916095664,1923
401,26.249034017256086,0.6067387760311019,369667.247045708,757
526,100.8984841637489,0.325313975429624,6708128.68992608,2621
410,43.50938598336224,0.3953188140931733,2260083.8642888013,1085
225,91.12017033921953,0.32421012369122054,46093286.539362416,896
404,20.009733518061672,0.6313185798644428,209064.28999426187,1000
041,38.2564362881526,0.523499991361046,3002502.146647641,1800
533,28.470268930772544,0.5326827468514882,1660094.3798193936,866
053,41.55206143318636,0.6037409523844548,2832923.1763817132,1248
514,16.507009139422028,0.6555261792071896,610909.418428243,1455
126,52.76675324281079,0.5539676624122394,1429676.4969591405,1288
516,16.986815522672398,0.4813657482622426,291175.8983037924,1225
160,57.8158040331785,0.5140289002302132,16339360.071101192,2997
019,119.67677338999366,0.35551659866578855,1106650.8092651493,1769
506,39.40520893212182,0.3428217102918227,2626705.9168839375,1775
MEAN,45.69841542845164,0.5067981596763143,5066585.00951242,26868
