video_id,rmse,mean_iou,n_frames
562,16.94552665498648,0.5480926055075529,1310
521,27.19477311632638,0.5498273992590631,863
048,55.5561775809407,0.5701581593671528,1990
412,33.6258647212242,0.619018820364639,1923
401,28.214418019363865,0.6095771840270134,757
526,106.62730695148942,0.3824220315037237,2621
410,46.70072596090913,0.40422314535548287,1085
225,117.99718500565842,0.33356654310818973,896
404,20.29761066330186,0.6319922807790856,1000
041,39.99850111178549,0.5347376995716492,1800
533,35.66101831497911,0.5652333796069113,866
053,42.059104698050575,0.6053127570689142,1248
514,16.818818226112807,0.6542035015565368,1455
126,52.78498242592777,0.5546011668953725,1288
516,17.25737436278338,0.4584461277335198,1225
160,58.23215843134136,0.5137210720855699,2997
019,122.49840932249548,0.3852860926270251,1769
506,43.9307173414063,0.37048314457170073,1775
MEAN,49.022259606060146,0.516161283943839,26868
